freq (MHz);s11 (dB);real Z_in (Ohm); imag Z_in (Ohm)
3200;-2.193478540922458;49.0725754134783;122.2101488941241
3204;-2.150726754417137;48.93684563761585;123.5759223683634
3208;-2.114079292820178;48.97171554515885;124.972008437209
3212;-2.08417577712503;49.18344516452994;126.373566120551
3216;-2.061494116481088;49.57513217000125;127.7536957341323
3220;-2.046348373651864;50.1459867730012;129.083695399174
3224;-2.038887745408746;50.89055811037801;130.3335593437851
3228;-2.039096273251958;51.79798767215167;131.4727645873792
3232;-2.046793129420438;52.85139190762359;132.4713706376915
3236;-2.061633554842909;54.02749719072158;133.3014205118626
3240;-2.083110753374543;55.29665793144335;133.9385814782594
3244;-2.110559263431173;56.62337438195453;134.3639056799867
3248;-2.143160523553124;57.96738442336558;134.5655348123199
3252;-2.179951506292169;59.28533286888459;134.5401341016943
3256;-2.219837391790529;60.53293073872491;134.2938345552948
3260;-2.26160925828748;61.66742283601049;133.8424996684345
3264;-2.303967647131885;62.65010789346635;133.2112139558206
3268;-2.345552582015264;63.44862357857553;132.4330028869157
3272;-2.384980164594568;64.03873142330427;131.5469127239832
3276;-2.420885233365685;64.40541186504183;130.5956757999163
3280;-2.451968797279196;64.54318935277762;129.623238764248
3284;-2.477048121792556;64.45572484721335;128.6724283848441
3288;-2.495106576927471;64.15481102698237;127.7829775120301
3292;-2.5053398052651;63.65896567533621;126.9900508385791
3296;-2.507194579596785;62.99183540542441;126.3233188642682
3300;-2.500396998051151;62.18060117928286;125.8065488305019
3304;-2.484967430144633;61.2545321831706;125.4576254577084
3308;-2.461220799278668;60.24378028688052;125.2888855127895
3312;-2.429752190324616;59.17845559329369;125.3076451824961
3316;-2.391409173064689;58.08798185732647;125.516810950859
3320;-2.34725340160906;57.00070155522138;125.9154855440192
3324;-2.298514811675578;55.94368341186151;126.4995041783028
3328;-2.246542011529105;54.94267763948238;127.2618586117253
3332;-2.192752270347055;54.02216280752825;128.1929852568799
3336;-2.138583953190173;53.20543022794043;129.280908445752
3340;-2.085453481708644;52.51465480401803;130.5112415511541
3344;-2.034718064979169;51.97090413878679;131.8670584057681
3348;-1.987644669381023;51.59403991288958;133.3286569190405
3352;-1.945385061781517;51.40246758206744;134.8732475532095
3356;-1.908956304398109;51.41269363889504;136.474612678876
3360;-1.87922580506657;51.63865622647873;138.1027994762182
3364;-1.856899912896528;52.09080776174724;139.723928604347
3368;-1.842515065455905;52.77495088124514;141.3002212788492
3372;-1.836430607641771;53.69086467035707;142.7903642847765
3376;-1.838822587088373;54.83080837738549;144.1503386190837
3380;-1.849678066651758;56.17805260887152;145.3348231763415
3384;-1.868789768978826;57.70565530461613;146.2992395726657
3388;-1.895751174744492;59.37575580214154;147.0024200604297
3392;-1.929952530382131;61.13968203130892;147.4097581320363
3396;-1.970578576430735;62.93912788489961;147.4965558438518
3400;-2.016609169986846;64.70854189635132;147.2511455701959
3404;-2.066824317121657;66.37867620575608;146.677282646869
3408;-2.119815408211817;67.8810076875555;145.7953245864612
3412;-2.174004594448335;69.15252085954522;144.6418564219505
3416;-2.227674171700087;70.14020643016224;143.2676747142232
3420;-2.27900745407033;70.80463495758441;141.7343456442493
3424;-2.326141842661339;71.12212322262646;140.109820084791
3428;-2.367233590510468;71.08527959320818;138.4637425168558
3432;-2.400532183874387;70.70201453295184;136.8630924509925
3436;-2.424460473789611;69.9933497486132;135.3686608752363
3440;-2.437694997275305;68.99049836045324;134.0326460170447
3444;-2.439239710136913;67.73170623195765;132.8974224167372
3448;-2.428485997083031;66.25926631197461;131.9953518422219
3452;-2.405252587920054;64.61698778859177;131.3493926405666
3456;-2.369800907819108;62.84826364186323;130.9742262823752
3460;-2.322824148781943;60.99476418569093;130.8776382907216
3464;-2.265411448004139;59.09570418438732;131.061941246221
